"episode: 0/500, score: 16, e: 1.0"
"episode: 1/500, score: 17, e: 0.98"
"episode: 2/500, score: 23, e: 0.78"
"episode: 3/500, score: 12, e: 0.69"
"episode: 4/500, score: 11, e: 0.62"
"episode: 5/500, score: 11, e: 0.55"
"episode: 6/500, score: 8, e: 0.51"
"episode: 7/500, score: 12, e: 0.45"
"episode: 8/500, score: 10, e: 0.41"
"episode: 9/500, score: 12, e: 0.36"
"episode: 10/500, score: 14, e: 0.31"
"episode: 11/500, score: 11, e: 0.28"
"episode: 12/500, score: 19, e: 0.23"
"episode: 13/500, score: 9, e: 0.21"
"episode: 14/500, score: 9, e: 0.19"
"episode: 15/500, score: 9, e: 0.18"
"episode: 16/500, score: 10, e: 0.16"
"episode: 17/500, score: 12, e: 0.14"
"episode: 18/500, score: 10, e: 0.13"
"episode: 19/500, score: 8, e: 0.12"
"episode: 20/500, score: 24, e: 0.093"
"episode: 21/500, score: 8, e: 0.086"
"episode: 22/500, score: 13, e: 0.076"
"episode: 23/500, score: 46, e: 0.048"
"episode: 24/500, score: 68, e: 0.024"
"episode: 25/500, score: 42, e: 0.016"
"episode: 26/500, score: 84, e: 0.0099"
"episode: 27/500, score: 90, e: 0.0099"
"episode: 28/500, score: 84, e: 0.0099"
"episode: 29/500, score: 81, e: 0.0099"
"episode: 30/500, score: 112, e: 0.0099"
"episode: 31/500, score: 84, e: 0.0099"
"episode: 32/500, score: 242, e: 0.0099"
"episode: 33/500, score: 164, e: 0.0099"
"episode: 34/500, score: 166, e: 0.0099"
"episode: 35/500, score: 136, e: 0.0099"
"episode: 36/500, score: 259, e: 0.0099"
"episode: 37/500, score: 204, e: 0.0099"
"episode: 38/500, score: 334, e: 0.0099"
"episode: 39/500, score: 329, e: 0.0099"
"episode: 40/500, score: 259, e: 0.0099"
"episode: 41/500, score: 197, e: 0.0099"
"episode: 42/500, score: 128, e: 0.0099"
"episode: 43/500, score: 69, e: 0.0099"
"episode: 44/500, score: 140, e: 0.0099"
"episode: 45/500, score: 133, e: 0.0099"
"episode: 46/500, score: 151, e: 0.0099"
"episode: 47/500, score: 129, e: 0.0099"
"episode: 48/500, score: 213, e: 0.0099"
"episode: 49/500, score: 113, e: 0.0099"
"episode: 50/500, score: 141, e: 0.0099"
"episode: 51/500, score: 149, e: 0.0099"
"episode: 52/500, score: 63, e: 0.0099"
"episode: 53/500, score: 141, e: 0.0099"
"episode: 54/500, score: 135, e: 0.0099"
"episode: 55/500, score: 157, e: 0.0099"
"episode: 56/500, score: 211, e: 0.0099"
"episode: 57/500, score: 124, e: 0.0099"
"episode: 58/500, score: 113, e: 0.0099"
"episode: 59/500, score: 277, e: 0.0099"
"episode: 60/500, score: 499, e: 0.0099"
"episode: 61/500, score: 269, e: 0.0099"
"episode: 62/500, score: 468, e: 0.0099"
"episode: 63/500, score: 239, e: 0.0099"
"episode: 64/500, score: 100, e: 0.0099"
"episode: 65/500, score: 104, e: 0.0099"
"episode: 66/500, score: 45, e: 0.0099"
"episode: 67/500, score: 18, e: 0.0099"
"episode: 68/500, score: 16, e: 0.0099"
"episode: 69/500, score: 117, e: 0.0099"
"episode: 70/500, score: 159, e: 0.0099"
"episode: 71/500, score: 119, e: 0.0099"
"episode: 72/500, score: 212, e: 0.0099"
"episode: 73/500, score: 125, e: 0.0099"
"episode: 74/500, score: 116, e: 0.0099"
"episode: 75/500, score: 117, e: 0.0099"
"episode: 76/500, score: 137, e: 0.0099"
"episode: 77/500, score: 127, e: 0.0099"
"episode: 78/500, score: 135, e: 0.0099"
"episode: 79/500, score: 126, e: 0.0099"
"episode: 80/500, score: 129, e: 0.0099"
"episode: 81/500, score: 129, e: 0.0099"
"episode: 82/500, score: 128, e: 0.0099"
"episode: 83/500, score: 110, e: 0.0099"
"episode: 84/500, score: 125, e: 0.0099"
"episode: 85/500, score: 127, e: 0.0099"
"episode: 86/500, score: 112, e: 0.0099"
"episode: 87/500, score: 212, e: 0.0099"
"episode: 88/500, score: 151, e: 0.0099"
"episode: 89/500, score: 134, e: 0.0099"
"episode: 90/500, score: 124, e: 0.0099"
"episode: 91/500, score: 106, e: 0.0099"
"episode: 92/500, score: 98, e: 0.0099"
"episode: 93/500, score: 108, e: 0.0099"
"episode: 94/500, score: 107, e: 0.0099"
"episode: 95/500, score: 99, e: 0.0099"
"episode: 96/500, score: 111, e: 0.0099"
"episode: 97/500, score: 102, e: 0.0099"
"episode: 98/500, score: 100, e: 0.0099"
"episode: 99/500, score: 97, e: 0.0099"
"episode: 100/500, score: 88, e: 0.0099"
"episode: 101/500, score: 22, e: 0.0099"
"episode: 102/500, score: 98, e: 0.0099"
"episode: 103/500, score: 104, e: 0.0099"
"episode: 104/500, score: 108, e: 0.0099"
"episode: 105/500, score: 95, e: 0.0099"
"episode: 106/500, score: 110, e: 0.0099"
