episode: 0/3000, score: 14, average: 14.0
episode: 1/3000, score: 33, average: 23.5
episode: 2/3000, score: 27, average: 24.66
episode: 3/3000, score: 37, average: 27.75
episode: 4/3000, score: 17, average: 25.6
episode: 5/3000, score: 21, average: 24.83
episode: 6/3000, score: 17, average: 23.71
episode: 7/3000, score: 13, average: 22.37
episode: 8/3000, score: 26, average: 22.77
episode: 9/3000, score: 45, average: 25.0
episode: 10/3000, score: 16, average: 24.18
episode: 11/3000, score: 23, average: 24.08
episode: 12/3000, score: 19, average: 23.69
episode: 13/3000, score: 11, average: 22.78
episode: 14/3000, score: 13, average: 22.13
episode: 15/3000, score: 53, average: 24.06
episode: 16/3000, score: 16, average: 23.58
episode: 17/3000, score: 52, average: 25.16
episode: 18/3000, score: 22, average: 25.0
episode: 19/3000, score: 15, average: 24.5
episode: 20/3000, score: 21, average: 24.33
episode: 21/3000, score: 34, average: 24.77
episode: 22/3000, score: 20, average: 24.56
episode: 23/3000, score: 46, average: 25.45
episode: 24/3000, score: 13, average: 24.96
episode: 25/3000, score: 33, average: 25.26
episode: 26/3000, score: 10, average: 24.70
episode: 27/3000, score: 13, average: 24.28
episode: 28/3000, score: 14, average: 23.93
episode: 29/3000, score: 10, average: 23.46
episode: 30/3000, score: 15, average: 23.19
episode: 31/3000, score: 10, average: 22.78
episode: 32/3000, score: 11, average: 22.42
episode: 33/3000, score: 15, average: 22.20
episode: 34/3000, score: 21, average: 22.17
episode: 35/3000, score: 24, average: 22.22
episode: 36/3000, score: 12, average: 21.94
episode: 37/3000, score: 20, average: 21.89
episode: 38/3000, score: 11, average: 21.61
episode: 39/3000, score: 31, average: 21.85
episode: 40/3000, score: 12, average: 21.60
episode: 41/3000, score: 10, average: 21.33
episode: 42/3000, score: 33, average: 21.60
episode: 43/3000, score: 17, average: 21.5
episode: 44/3000, score: 21, average: 21.48
episode: 45/3000, score: 19, average: 21.43
episode: 46/3000, score: 19, average: 21.38
episode: 47/3000, score: 14, average: 21.22
episode: 48/3000, score: 12, average: 21.04
episode: 49/3000, score: 19, average: 21.0
episode: 50/3000, score: 11, average: 20.80
episode: 51/3000, score: 17, average: 20.73
episode: 52/3000, score: 12, average: 20.56
episode: 53/3000, score: 27, average: 20.68
episode: 54/3000, score: 57, average: 21.34
episode: 55/3000, score: 36, average: 21.60
episode: 56/3000, score: 16, average: 21.50
episode: 57/3000, score: 35, average: 21.74
episode: 58/3000, score: 13, average: 21.59
episode: 59/3000, score: 14, average: 21.46
episode: 60/3000, score: 14, average: 21.34
episode: 61/3000, score: 11, average: 21.17
episode: 62/3000, score: 34, average: 21.38
episode: 63/3000, score: 20, average: 21.35
episode: 64/3000, score: 16, average: 21.27
episode: 65/3000, score: 22, average: 21.28
episode: 66/3000, score: 48, average: 21.68
episode: 67/3000, score: 11, average: 21.52
episode: 68/3000, score: 15, average: 21.43
episode: 69/3000, score: 9, average: 21.25
episode: 70/3000, score: 11, average: 21.11
episode: 71/3000, score: 11, average: 20.97
episode: 72/3000, score: 11, average: 20.83
episode: 73/3000, score: 12, average: 20.71
episode: 74/3000, score: 18, average: 20.68
episode: 75/3000, score: 17, average: 20.63
episode: 76/3000, score: 42, average: 20.90
episode: 77/3000, score: 18, average: 20.87
episode: 78/3000, score: 16, average: 20.81
episode: 79/3000, score: 20, average: 20.8
episode: 80/3000, score: 27, average: 20.87
episode: 81/3000, score: 29, average: 20.97
episode: 82/3000, score: 13, average: 20.87
episode: 83/3000, score: 34, average: 21.03
episode: 84/3000, score: 34, average: 21.18
episode: 85/3000, score: 12, average: 21.08
episode: 86/3000, score: 58, average: 21.50
episode: 87/3000, score: 9, average: 21.36
episode: 88/3000, score: 11, average: 21.24
episode: 89/3000, score: 23, average: 21.26
episode: 90/3000, score: 15, average: 21.19
episode: 91/3000, score: 12, average: 21.09
episode: 92/3000, score: 44, average: 21.34
episode: 93/3000, score: 40, average: 21.54
episode: 94/3000, score: 22, average: 21.54
episode: 95/3000, score: 35, average: 21.68
episode: 96/3000, score: 44, average: 21.91
episode: 97/3000, score: 14, average: 21.83
episode: 98/3000, score: 48, average: 22.10
episode: 99/3000, score: 27, average: 22.15
episode: 100/3000, score: 17, average: 22.18
episode: 101/3000, score: 14, average: 21.99
episode: 102/3000, score: 36, average: 22.08
episode: 103/3000, score: 24, average: 21.95
episode: 104/3000, score: 79, average: 22.57
episode: 105/3000, score: 23, average: 22.59
episode: 106/3000, score: 53, average: 22.95
episode: 107/3000, score: 30, average: 23.12
episode: 108/3000, score: 39, average: 23.25
episode: 109/3000, score: 33, average: 23.13
episode: 110/3000, score: 98, average: 23.95
episode: 111/3000, score: 39, average: 24.11
episode: 112/3000, score: 56, average: 24.48
episode: 113/3000, score: 48, average: 24.85
episode: 114/3000, score: 73, average: 25.45
episode: 115/3000, score: 53, average: 25.45
episode: 116/3000, score: 42, average: 25.71
episode: 117/3000, score: 81, average: 26.0
episode: 118/3000, score: 152, average: 27.3
episode: 119/3000, score: 36, average: 27.51
episode: 120/3000, score: 26, average: 27.56
episode: 121/3000, score: 115, average: 28.37
episode: 122/3000, score: 57, average: 28.74
episode: 123/3000, score: 26, average: 28.54
episode: 124/3000, score: 46, average: 28.87
episode: 125/3000, score: 82, average: 29.36
episode: 126/3000, score: 62, average: 29.88
episode: 127/3000, score: 44, average: 30.19
episode: 128/3000, score: 117, average: 31.22
episode: 129/3000, score: 127, average: 32.39
episode: 130/3000, score: 92, average: 33.16
episode: 131/3000, score: 52, average: 33.58
episode: 132/3000, score: 38, average: 33.85
episode: 133/3000, score: 53, average: 34.23
episode: 134/3000, score: 118, average: 35.2
episode: 135/3000, score: 51, average: 35.47
episode: 136/3000, score: 18, average: 35.53
episode: 137/3000, score: 39, average: 35.72
episode: 138/3000, score: 27, average: 35.88
episode: 139/3000, score: 19, average: 35.76
episode: 140/3000, score: 24, average: 35.88
episode: 141/3000, score: 38, average: 36.16
episode: 142/3000, score: 59, average: 36.42
episode: 143/3000, score: 61, average: 36.86
episode: 144/3000, score: 29, average: 36.94
episode: 145/3000, score: 60, average: 37.35
episode: 146/3000, score: 100, average: 38.16
episode: 147/3000, score: 61, average: 38.63
episode: 148/3000, score: 51, average: 39.02
episode: 149/3000, score: 103, average: 39.86
episode: 150/3000, score: 53, average: 40.28
episode: 151/3000, score: 68, average: 40.79
episode: 152/3000, score: 49, average: 41.16
episode: 153/3000, score: 36, average: 41.25
episode: 154/3000, score: 56, average: 41.24
episode: 155/3000, score: 71, average: 41.59
episode: 156/3000, score: 58, average: 42.01
episode: 157/3000, score: 76, average: 42.42
episode: 158/3000, score: 18, average: 42.47
episode: 159/3000, score: 15, average: 42.48
episode: 160/3000, score: 54, average: 42.88
episode: 161/3000, score: 56, average: 43.33
episode: 162/3000, score: 56, average: 43.55
episode: 163/3000, score: 47, average: 43.82
episode: 164/3000, score: 69, average: 44.35
episode: 165/3000, score: 58, average: 44.71
episode: 166/3000, score: 35, average: 44.58
episode: 167/3000, score: 157, average: 46.04
episode: 168/3000, score: 54, average: 46.43
episode: 169/3000, score: 37, average: 46.71
episode: 170/3000, score: 33, average: 46.93
episode: 171/3000, score: 42, average: 47.24
episode: 172/3000, score: 55, average: 47.68
episode: 173/3000, score: 89, average: 48.45
episode: 174/3000, score: 25, average: 48.52
episode: 175/3000, score: 15, average: 48.5
episode: 176/3000, score: 89, average: 48.97
episode: 177/3000, score: 82, average: 49.61
episode: 178/3000, score: 54, average: 49.99
episode: 179/3000, score: 90, average: 50.69
episode: 180/3000, score: 83, average: 51.25
episode: 181/3000, score: 69, average: 51.65
episode: 182/3000, score: 25, average: 51.77
episode: 183/3000, score: 16, average: 51.59
episode: 184/3000, score: 131, average: 52.56
episode: 185/3000, score: 41, average: 52.85
episode: 186/3000, score: 55, average: 52.82
episode: 187/3000, score: 44, average: 53.17
episode: 188/3000, score: 25, average: 53.31
episode: 189/3000, score: 10, average: 53.18
episode: 190/3000, score: 64, average: 53.67
episode: 191/3000, score: 77, average: 54.32
episode: 192/3000, score: 76, average: 54.64
episode: 193/3000, score: 91, average: 55.15
episode: 194/3000, score: 77, average: 55.7
episode: 195/3000, score: 42, average: 55.77
episode: 196/3000, score: 119, average: 56.52
episode: 197/3000, score: 96, average: 57.34
episode: 198/3000, score: 94, average: 57.8
episode: 199/3000, score: 87, average: 58.4
episode: 200/3000, score: 33, average: 58.56
episode: 201/3000, score: 45, average: 58.87
episode: 202/3000, score: 113, average: 59.64
episode: 203/3000, score: 93, average: 60.33
episode: 204/3000, score: 63, average: 60.17
episode: 205/3000, score: 150, average: 61.44
episode: 206/3000, score: 45, average: 61.36
episode: 207/3000, score: 74, average: 61.8
episode: 208/3000, score: 38, average: 61.79
episode: 209/3000, score: 9, average: 61.55
episode: 210/3000, score: 80, average: 61.37
episode: 211/3000, score: 55, average: 61.53
episode: 212/3000, score: 31, average: 61.28
episode: 213/3000, score: 61, average: 61.41
episode: 214/3000, score: 95, average: 61.63
episode: 215/3000, score: 83, average: 61.93
episode: 216/3000, score: 44, average: 61.95
episode: 217/3000, score: 124, average: 62.38
episode: 218/3000, score: 78, average: 61.64
episode: 219/3000, score: 61, average: 61.89
episode: 220/3000, score: 36, average: 61.99
episode: 221/3000, score: 58, average: 61.42
episode: 222/3000, score: 72, average: 61.57
episode: 223/3000, score: 109, average: 62.4
episode: 224/3000, score: 16, average: 62.1
episode: 225/3000, score: 55, average: 61.83
episode: 226/3000, score: 53, average: 61.74
episode: 227/3000, score: 60, average: 61.9
episode: 228/3000, score: 67, average: 61.4
episode: 229/3000, score: 19, average: 60.32
episode: 230/3000, score: 13, average: 59.53
episode: 231/3000, score: 43, average: 59.44
episode: 232/3000, score: 82, average: 59.88
episode: 233/3000, score: 61, average: 59.96
episode: 234/3000, score: 29, average: 59.07
episode: 235/3000, score: 56, average: 59.12
episode: 236/3000, score: 36, average: 59.3
episode: 237/3000, score: 104, average: 59.95
episode: 238/3000, score: 39, average: 60.07
episode: 239/3000, score: 12, average: 60.0
episode: 240/3000, score: 25, average: 60.01
episode: 241/3000, score: 53, average: 60.16
episode: 242/3000, score: 145, average: 61.02
episode: 243/3000, score: 84, average: 61.25
episode: 244/3000, score: 11, average: 61.07
episode: 245/3000, score: 82, average: 61.29
episode: 246/3000, score: 86, average: 61.15
episode: 247/3000, score: 156, average: 62.1
episode: 248/3000, score: 35, average: 61.94
episode: 249/3000, score: 57, average: 61.48
episode: 250/3000, score: 54, average: 61.49
episode: 251/3000, score: 20, average: 61.01
episode: 252/3000, score: 78, average: 61.3
episode: 253/3000, score: 43, average: 61.37
episode: 254/3000, score: 291, average: 63.72
episode: 255/3000, score: 63, average: 63.64
episode: 256/3000, score: 12, average: 63.18
episode: 257/3000, score: 12, average: 62.54
episode: 258/3000, score: 72, average: 63.08
episode: 259/3000, score: 74, average: 63.67
episode: 260/3000, score: 75, average: 63.88
episode: 261/3000, score: 88, average: 64.2
episode: 262/3000, score: 68, average: 64.32
episode: 263/3000, score: 60, average: 64.45
episode: 264/3000, score: 64, average: 64.4
episode: 265/3000, score: 143, average: 65.25
episode: 266/3000, score: 60, average: 65.5
episode: 267/3000, score: 70, average: 64.63
episode: 268/3000, score: 79, average: 64.88
episode: 269/3000, score: 53, average: 65.04
episode: 270/3000, score: 93, average: 65.64
episode: 271/3000, score: 64, average: 65.86
episode: 272/3000, score: 89, average: 66.2
episode: 273/3000, score: 111, average: 66.42
episode: 274/3000, score: 93, average: 67.1
episode: 275/3000, score: 65, average: 67.6
episode: 276/3000, score: 32, average: 67.03
episode: 277/3000, score: 55, average: 66.76
episode: 278/3000, score: 57, average: 66.79
episode: 279/3000, score: 77, average: 66.66
episode: 280/3000, score: 19, average: 66.02
episode: 281/3000, score: 44, average: 65.77
episode: 282/3000, score: 101, average: 66.53
episode: 283/3000, score: 59, average: 66.96
episode: 284/3000, score: 80, average: 66.45
episode: 285/3000, score: 56, average: 66.6
episode: 286/3000, score: 81, average: 66.86
episode: 287/3000, score: 62, average: 67.04
episode: 288/3000, score: 119, average: 67.98
episode: 289/3000, score: 32, average: 68.2
episode: 290/3000, score: 42, average: 67.98
episode: 291/3000, score: 26, average: 67.47
episode: 292/3000, score: 65, average: 67.36
episode: 293/3000, score: 109, average: 67.54
episode: 294/3000, score: 11, average: 66.88
episode: 295/3000, score: 18, average: 66.64
episode: 296/3000, score: 19, average: 65.64
episode: 297/3000, score: 32, average: 65.0
episode: 298/3000, score: 27, average: 64.33
episode: 299/3000, score: 24, average: 63.7
episode: 300/3000, score: 83, average: 64.2
episode: 301/3000, score: 12, average: 63.87
episode: 302/3000, score: 96, average: 63.7
episode: 303/3000, score: 78, average: 63.55
episode: 304/3000, score: 114, average: 64.06
episode: 305/3000, score: 32, average: 62.88
episode: 306/3000, score: 53, average: 62.96
episode: 307/3000, score: 106, average: 63.28
episode: 308/3000, score: 55, average: 63.45
episode: 309/3000, score: 131, average: 64.67
episode: 310/3000, score: 93, average: 64.8
episode: 311/3000, score: 59, average: 64.84
episode: 312/3000, score: 75, average: 65.28
episode: 313/3000, score: 75, average: 65.42
episode: 314/3000, score: 60, average: 65.07
episode: 315/3000, score: 26, average: 64.5
episode: 316/3000, score: 59, average: 64.65
episode: 317/3000, score: 122, average: 64.63
episode: 318/3000, score: 88, average: 64.73
episode: 319/3000, score: 11, average: 64.23
episode: 320/3000, score: 23, average: 64.1
episode: 321/3000, score: 12, average: 63.64
episode: 322/3000, score: 10, average: 63.02
episode: 323/3000, score: 111, average: 63.04
episode: 324/3000, score: 74, average: 63.62
episode: 325/3000, score: 77, average: 63.84
episode: 326/3000, score: 102, average: 64.33
episode: 327/3000, score: 80, average: 64.53
episode: 328/3000, score: 101, average: 64.87
episode: 329/3000, score: 58, average: 65.26
episode: 330/3000, score: 41, average: 65.54
episode: 331/3000, score: 54, average: 65.65
episode: 332/3000, score: 34, average: 65.17
episode: 333/3000, score: 85, average: 65.41
episode: 334/3000, score: 71, average: 65.83
episode: 335/3000, score: 67, average: 65.94
episode: 336/3000, score: 45, average: 66.03
episode: 337/3000, score: 85, average: 65.84
episode: 338/3000, score: 35, average: 65.8
episode: 339/3000, score: 21, average: 65.89
episode: 340/3000, score: 16, average: 65.8
episode: 341/3000, score: 15, average: 65.42
episode: 342/3000, score: 33, average: 64.3
episode: 343/3000, score: 89, average: 64.35
episode: 344/3000, score: 95, average: 65.19
episode: 345/3000, score: 14, average: 64.51
episode: 346/3000, score: 26, average: 63.91
episode: 347/3000, score: 76, average: 63.11
episode: 348/3000, score: 119, average: 63.95
episode: 349/3000, score: 15, average: 63.53
episode: 350/3000, score: 52, average: 63.51
episode: 351/3000, score: 69, average: 64.0
episode: 352/3000, score: 57, average: 63.79
episode: 353/3000, score: 51, average: 63.87
episode: 354/3000, score: 97, average: 61.93
episode: 355/3000, score: 88, average: 62.18
episode: 356/3000, score: 25, average: 62.31
episode: 357/3000, score: 84, average: 63.03
episode: 358/3000, score: 153, average: 63.84
episode: 359/3000, score: 46, average: 63.56
episode: 360/3000, score: 111, average: 63.92
episode: 361/3000, score: 45, average: 63.49
episode: 362/3000, score: 61, average: 63.42
episode: 363/3000, score: 96, average: 63.78
episode: 364/3000, score: 11, average: 63.25
episode: 365/3000, score: 57, average: 62.39
episode: 366/3000, score: 48, average: 62.27
episode: 367/3000, score: 53, average: 62.1
episode: 368/3000, score: 86, average: 62.17
episode: 369/3000, score: 70, average: 62.34
episode: 370/3000, score: 61, average: 62.02
episode: 371/3000, score: 40, average: 61.78
episode: 372/3000, score: 111, average: 62.0
episode: 373/3000, score: 81, average: 61.7
episode: 374/3000, score: 108, average: 61.85
episode: 375/3000, score: 48, average: 61.68
episode: 376/3000, score: 167, average: 63.03
episode: 377/3000, score: 121, average: 63.69
episode: 378/3000, score: 75, average: 63.87
episode: 379/3000, score: 42, average: 63.52
episode: 380/3000, score: 45, average: 63.78
episode: 381/3000, score: 136, average: 64.7
episode: 382/3000, score: 139, average: 65.08
episode: 383/3000, score: 106, average: 65.55
episode: 384/3000, score: 70, average: 65.45
episode: 385/3000, score: 49, average: 65.38
episode: 386/3000, score: 132, average: 65.89
episode: 387/3000, score: 83, average: 66.1
episode: 388/3000, score: 66, average: 65.57
episode: 389/3000, score: 67, average: 65.92
episode: 390/3000, score: 72, average: 66.22
episode: 391/3000, score: 85, average: 66.81
episode: 392/3000, score: 66, average: 66.82
episode: 393/3000, score: 56, average: 66.29
episode: 394/3000, score: 242, average: 68.6
episode: 395/3000, score: 116, average: 69.58
episode: 396/3000, score: 94, average: 70.33
episode: 397/3000, score: 152, average: 71.53
episode: 398/3000, score: 57, average: 71.83
episode: 399/3000, score: 15, average: 71.74
episode: 400/3000, score: 78, average: 71.69
episode: 401/3000, score: 108, average: 72.65
episode: 402/3000, score: 60, average: 72.29
episode: 403/3000, score: 34, average: 71.85
episode: 404/3000, score: 84, average: 71.55
episode: 405/3000, score: 34, average: 71.57
episode: 406/3000, score: 86, average: 71.9
episode: 407/3000, score: 103, average: 71.87
episode: 408/3000, score: 68, average: 72.0
episode: 409/3000, score: 116, average: 71.85
episode: 410/3000, score: 195, average: 72.87
episode: 411/3000, score: 82, average: 73.1
episode: 412/3000, score: 56, average: 72.91
episode: 413/3000, score: 56, average: 72.72
episode: 414/3000, score: 71, average: 72.83
episode: 415/3000, score: 13, average: 72.7
episode: 416/3000, score: 56, average: 72.67
episode: 417/3000, score: 12, average: 71.57
episode: 418/3000, score: 13, average: 70.82
episode: 419/3000, score: 84, average: 71.55
episode: 420/3000, score: 41, average: 71.73
episode: 421/3000, score: 48, average: 72.09
episode: 422/3000, score: 81, average: 72.8
episode: 423/3000, score: 15, average: 71.84
episode: 424/3000, score: 29, average: 71.39
episode: 425/3000, score: 33, average: 70.95
episode: 426/3000, score: 119, average: 71.12
episode: 427/3000, score: 12, average: 70.44
episode: 428/3000, score: 77, average: 70.2
episode: 429/3000, score: 33, average: 69.95
episode: 430/3000, score: 85, average: 70.39
episode: 431/3000, score: 115, average: 71.0
episode: 432/3000, score: 64, average: 71.3
episode: 433/3000, score: 66, average: 71.11
episode: 434/3000, score: 117, average: 71.57
episode: 435/3000, score: 60, average: 71.5
episode: 436/3000, score: 71, average: 71.76
episode: 437/3000, score: 90, average: 71.81
episode: 438/3000, score: 63, average: 72.09
episode: 439/3000, score: 21, average: 72.09
episode: 440/3000, score: 12, average: 72.05
episode: 441/3000, score: 93, average: 72.83
episode: 442/3000, score: 67, average: 73.17
episode: 443/3000, score: 199, average: 74.27
episode: 444/3000, score: 71, average: 74.03
episode: 445/3000, score: 112, average: 75.01
episode: 446/3000, score: 153, average: 76.28
episode: 447/3000, score: 13, average: 75.65
episode: 448/3000, score: 46, average: 74.92
episode: 449/3000, score: 100, average: 75.77
episode: 450/3000, score: 102, average: 76.27
episode: 451/3000, score: 57, average: 76.15
episode: 452/3000, score: 26, average: 75.84
episode: 453/3000, score: 36, average: 75.69
episode: 454/3000, score: 90, average: 75.62
episode: 455/3000, score: 116, average: 75.9
episode: 456/3000, score: 150, average: 77.15
episode: 457/3000, score: 71, average: 77.02
episode: 458/3000, score: 134, average: 76.83
episode: 459/3000, score: 68, average: 77.05
episode: 460/3000, score: 97, average: 76.91
episode: 461/3000, score: 54, average: 77.0
episode: 462/3000, score: 12, average: 76.51
